domain,seed,instance,delta_kind,boot_cold_objective,cplex_boot_cold_objective,cplex_cold_objective,cpsat_cold_objective,gurobi_boot_cold_objective,gurobi_cold_objective,boot_cold_pi,cplex_boot_cold_pi,cplex_cold_pi,cpsat_cold_pi,gurobi_boot_cold_pi,gurobi_cold_pi
jssp,1,0,base,196.0,196.0,196.0,196.0,196.0,196.0,0.0004683914129953,0.0013870149861796,0.0013861987918804,0.0004313794606787,0.0015008793405805,0.0016226133099122
jssp,1,1,arrival,218.0,218.0,218.0,218.0,218.0,218.0,0.0001542104679891,0.0015018154046645,0.0028385112177143,0.0003445441216172,0.0035399636212662,0.0052146817591356
jssp,1,2,arrival,236.0,236.0,236.0,236.0,236.0,236.0,0.0001949612520948,0.0027205880614158,0.0055372400289281,0.0004182788939881,0.0012937231533862,0.003322249636952
jssp,1,3,cancellation,208.0,208.0,208.0,208.0,208.0,208.0,0.0006340474805291,0.0010050403690316,0.0020439092173336,0.0009445417899944,0.0039237771181538,0.0068328613762892
jssp,1,4,cancellation,191.0,191.0,191.0,191.0,191.0,191.0,0.0002810575929836,0.0009581021160499,0.0019861510417671,0.000683603633337,0.0041258525090873,0.0083571659967593
jssp,2,0,base,222.0,222.0,222.0,222.0,222.0,222.0,0.0006969549326354,0.0069630575998179,0.0069793686322333,0.0006274877422755,0.0043683530803301,0.0043883546658033
jssp,2,1,arrival,222.0,222.0,222.0,222.0,222.0,222.0,0.0003693679515505,0.0080450031242222,0.0127007180406442,0.000717793819448,0.0210059451857215,0.0237898417221954
jssp,2,2,outage,254.0,254.0,254.0,254.0,254.0,254.0,5.360950041983063e-05,0.0001032407758823,0.003284708113058,0.0004797640041054,0.0003039994169696,0.0055132445967193
jssp,2,3,duration_jitter,254.0,254.0,254.0,254.0,254.0,254.0,6.958751328056678e-06,0.0003346537952291,0.0035855830380504,0.0003811777390032,1.187262387247756e-05,0.0030359092439525
jssp,2,4,outage,254.0,254.0,254.0,254.0,254.0,254.0,9.613493783422378e-05,0.0024625467440488,0.0063724341054737,0.0004280968629804,0.0018335639809616,0.0052311726538491
jssp,3,0,base,201.0,201.0,201.0,201.0,201.0,201.0,0.0003825384888633,0.0026295694697906,0.0025389929220698,0.000356556548418,0.0023143855444265,0.0023115421759912
jssp,3,1,arrival,215.0,215.0,215.0,215.0,215.0,215.0,0.0001350963981124,0.0010898924572968,0.0039322352292507,0.0004093043038792,0.0005589342658505,0.0020498864891631
jssp,3,2,arrival,234.0,234.0,234.0,234.0,234.0,234.0,0.0002350742756361,0.001202066104464,0.003721369778114,0.0005633978269341,0.0007541285341355,0.002815566683169
jssp,3,3,arrival,262.0,262.0,262.0,262.0,262.0,262.0,0.0001838539824035,0.0019002022189025,0.0048760082418848,0.000499704556677,0.0014878734070914,0.0034226944323029
jssp,3,4,outage,342.0,342.0,342.0,342.0,342.0,342.0,0.0002797498645447,0.0003156166444489,0.0053552105714117,0.0007235713045175,0.0025404338303012,0.0047601667903476
jssp,4,0,base,191.0,191.0,191.0,191.0,191.0,191.0,0.0003603239751653,0.0029435852196321,0.0028542283342947,0.0003283855665892,0.0023618997943778,0.0024019989629744
jssp,4,1,duration_jitter,202.0,202.0,202.0,202.0,202.0,202.0,2.285656586590818e-05,0.0007169193693446,0.0026392456648945,0.0003813687043394,0.0008246222781657,0.0023794987775167
jssp,4,2,outage,202.0,202.0,202.0,202.0,202.0,202.0,8.125207291458996e-05,0.0005239281189199,0.0016387595196197,0.0003433644020279,1.4974502846598623e-05,0.0019542227849045
jssp,4,3,arrival,222.0,222.0,222.0,222.0,222.0,222.0,9.447486745311588e-05,0.0008695466052043,0.0017045885382325,0.0003313804973987,0.0024485163186483,0.0035921647501979
jssp,4,4,cancellation,192.0,192.0,192.0,192.0,192.0,192.0,5.944499887770386e-05,0.0011791892126401,0.0024267461632045,0.0003058576563716,0.0011926318541857,0.0035173101087669
jssp,5,0,base,177.0,177.0,177.0,177.0,177.0,177.0,0.0005066413334113,0.0024712082246626,0.0024410449561586,0.000414025390933,0.0024156823007928,0.0024170464097818
jssp,5,1,arrival,203.0,203.0,203.0,203.0,203.0,203.0,0.0002452247320214,0.0019739428511985,0.0037012170796336,0.000470182185919,0.003688935470008,0.0055245340774642
jssp,5,2,duration_jitter,203.0,203.0,203.0,203.0,203.0,203.0,8.192502718884498e-06,6.550377293024212e-06,0.0029216297517616,0.0007502407616843,0.0001798951129539,0.0041448233704761
jssp,5,3,cancellation,176.0,176.0,176.0,176.0,176.0,176.0,0.0003494399460247,0.0006920653592549,0.0017395729474752,0.0006735565142745,0.0006644805479151,0.0020348130043327
jssp,5,4,arrival,201.0,201.0,201.0,201.0,201.0,201.0,0.0002250735277047,0.002291920764589,0.0037594593774897,0.0004516177489029,0.0030813296094556,0.0044207600850625
jssp,6,0,base,204.0,204.0,204.0,204.0,204.0,204.0,0.0003837149959366,0.0023569020125732,0.0023032771998937,0.0003831493690906,0.0014917119981285,0.0014789299947212
jssp,6,1,duration_jitter,206.0,206.0,206.0,206.0,206.0,206.0,7.870310936004457e-06,5.8793772094079424e-05,0.0019562842822708,0.0003417801217614,0.0003424496399108,0.0021198106221419
jssp,6,2,duration_jitter,200.0,200.0,200.0,200.0,200.0,200.0,5.969138614091207e-05,0.0007445843737332,0.0026918598755946,0.0003811695011791,0.0015645019024304,0.0032123630863497
jssp,6,3,duration_jitter,211.0,211.0,211.0,211.0,211.0,211.0,6.851998477941379e-06,6.097376171965152e-06,0.0015096861670783,0.0003804027475513,2.483737625880167e-05,0.0028064319399874
jssp,6,4,duration_jitter,214.0,214.0,214.0,214.0,214.0,214.0,1.1363396258963813e-05,5.91987554798834e-06,0.0018433774924819,0.0003547329229787,1.43172474054154e-05,0.0018363953332762
