seed,instance,delta_kind,method,objective,initial_objective,proven_optimal,best_known,final_gap,primal_integral
1,0,base,cpsat_cold,196,,False,196,0.0,0.0004313794606787269
1,0,base,boot_cold,196,,False,196,0.0,0.0004683914129953114
1,0,base,gurobi_cold,196,,True,196,0.0,0.0016226133099122794
1,0,base,gurobi_boot_cold,196,,True,196,0.0,0.001500879340580598
1,0,base,cplex_cold,196,,True,196,0.0,0.001386198791880481
1,0,base,cplex_boot_cold,196,,True,196,0.0,0.00138701498617964
1,1,arrival,cpsat_cold,218,,False,218,0.0,0.0003445441216172185
1,1,arrival,boot_cold,218,297.0,False,218,0.0,0.0001542104679891955
1,1,arrival,gurobi_cold,218,,False,218,0.0,0.005214681759135695
1,1,arrival,gurobi_boot_cold,218,287.0,False,218,0.0,0.0035399636212662144
1,1,arrival,cplex_cold,218,,False,218,0.0,0.0028385112177143506
1,1,arrival,cplex_boot_cold,218,297.0,False,218,0.0,0.0015018154046645895
1,2,arrival,cpsat_cold,236,,False,236,0.0,0.0004182788939881178
1,2,arrival,boot_cold,236,326.0,False,236,0.0,0.00019496125209486108
1,2,arrival,gurobi_cold,236,,False,236,0.0,0.003322249636952065
1,2,arrival,gurobi_boot_cold,236,327.0,False,236,0.0,0.0012937231533862237
1,2,arrival,cplex_cold,236,,False,236,0.0,0.005537240028928154
1,2,arrival,cplex_boot_cold,236,319.0,False,236,0.0,0.0027205880614158146
1,3,cancellation,cpsat_cold,208,,False,208,0.0,0.0009445417899944285
1,3,cancellation,boot_cold,208,236.0,False,208,0.0,0.0006340474805291215
1,3,cancellation,gurobi_cold,208,,False,208,0.0,0.006832861376289237
1,3,cancellation,gurobi_boot_cold,208,230.0,False,208,0.0,0.0039237771181538286
1,3,cancellation,cplex_cold,208,,False,208,0.0,0.002043909217333679
1,3,cancellation,cplex_boot_cold,208,231.0,False,208,0.0,0.0010050403690316809
1,4,cancellation,cpsat_cold,191,,False,191,0.0,0.0006836036333370239
1,4,cancellation,boot_cold,191,207.0,False,191,0.0,0.00028105759298360637
1,4,cancellation,gurobi_cold,191,,True,191,0.0,0.008357165996759341
1,4,cancellation,gurobi_boot_cold,191,207.0,True,191,0.0,0.004125852509087388
1,4,cancellation,cplex_cold,191,,True,191,0.0,0.0019861510417671603
1,4,cancellation,cplex_boot_cold,191,201.0,True,191,0.0,0.0009581021160499562
2,0,base,cpsat_cold,222,,False,222,0.0,0.000627487742275588
2,0,base,boot_cold,222,,False,222,0.0,0.0006969549326354068
2,0,base,gurobi_cold,222,,True,222,0.0,0.004388354665803358
2,0,base,gurobi_boot_cold,222,,True,222,0.0,0.004368353080330103
2,0,base,cplex_cold,222,,False,222,0.0,0.006979368632233377
2,0,base,cplex_boot_cold,222,,False,222,0.0,0.0069630575998179435
2,1,arrival,cpsat_cold,222,,False,222,0.0,0.0007177938194480058
2,1,arrival,boot_cold,222,261.0,False,222,0.0,0.0003693679515505733
2,1,arrival,gurobi_cold,222,,True,222,0.0,0.023789841722195434
2,1,arrival,gurobi_boot_cold,222,264.0,True,222,0.0,0.021005945185721544
2,1,arrival,cplex_cold,222,,False,222,0.0,0.01270071804064427
2,1,arrival,cplex_boot_cold,222,261.0,False,222,0.0,0.008045003124222218
2,2,outage,cpsat_cold,254,,False,254,0.0,0.00047976400410549295
2,2,outage,boot_cold,254,260.0,False,254,0.0,5.360950041983063e-05
2,2,outage,gurobi_cold,254,,True,254,0.0,0.005513244596719362
2,2,outage,gurobi_boot_cold,254,255.0,True,254,0.0,0.00030399941696966886
2,2,outage,cplex_cold,254,,True,254,0.0,0.003284708113058041
2,2,outage,cplex_boot_cold,254,255.0,True,254,0.0,0.00010324077588239296
2,3,duration_jitter,cpsat_cold,254,,False,254,0.0,0.0003811777390032735
2,3,duration_jitter,boot_cold,254,254.0,False,254,0.0,6.958751328056678e-06
2,3,duration_jitter,gurobi_cold,254,,True,254,0.0,0.0030359092439525056
2,3,duration_jitter,gurobi_boot_cold,254,254.0,True,254,0.0,1.1872623872477561e-05
2,3,duration_jitter,cplex_cold,254,,True,254,0.0,0.0035855830380504936
2,3,duration_jitter,cplex_boot_cold,254,260.0,True,254,0.0,0.00033465379522918575
2,4,outage,cpsat_cold,254,,False,254,0.0,0.000428096862980435
2,4,outage,boot_cold,254,279.0,False,254,0.0,9.613493783422378e-05
2,4,outage,gurobi_cold,254,,True,254,0.0,0.005231172653849192
2,4,outage,gurobi_boot_cold,254,282.0,True,254,0.0,0.0018335639809616466
2,4,outage,cplex_cold,254,,True,254,0.0,0.006372434105473734
2,4,outage,cplex_boot_cold,254,294.0,True,254,0.0,0.0024625467440488333
3,0,base,cpsat_cold,201,,False,201,0.0,0.00035655654841800573
3,0,base,boot_cold,201,,False,201,0.0,0.0003825384888633511
3,0,base,gurobi_cold,201,,True,201,0.0,0.0023115421759912487
3,0,base,gurobi_boot_cold,201,,True,201,0.0,0.0023143855444265962
3,0,base,cplex_cold,201,,False,201,0.0,0.002538992922069807
3,0,base,cplex_boot_cold,201,,False,201,0.0,0.0026295694697906604
3,1,arrival,cpsat_cold,215,,False,215,0.0,0.0004093043038792106
3,1,arrival,boot_cold,215,252.0,False,215,0.0,0.0001350963981124995
3,1,arrival,gurobi_cold,215,,True,215,0.0,0.0020498864891631587
3,1,arrival,gurobi_boot_cold,215,252.0,True,215,0.0,0.000558934265850545
3,1,arrival,cplex_cold,215,,False,215,0.0,0.003932235229250753
3,1,arrival,cplex_boot_cold,215,252.0,False,215,0.0,0.0010898924572968608
3,2,arrival,cpsat_cold,234,,False,234,0.0,0.000563397826934104
3,2,arrival,boot_cold,234,269.0,False,234,0.0,0.00023507427563617187
3,2,arrival,gurobi_cold,234,,True,234,0.0,0.0028155666831690515
3,2,arrival,gurobi_boot_cold,234,264.0,True,234,0.0,0.0007541285341355051
3,2,arrival,cplex_cold,234,,False,234,0.0,0.0037213697781140567
3,2,arrival,cplex_boot_cold,234,288.0,False,234,0.0,0.0012020661044640979
3,3,arrival,cpsat_cold,262,,False,262,0.0,0.0004997045566770648
3,3,arrival,boot_cold,262,333.0,False,262,0.0,0.0001838539824035696
3,3,arrival,gurobi_cold,262,,True,262,0.0,0.0034226944323029074
3,3,arrival,gurobi_boot_cold,262,333.0,True,262,0.0,0.0014878734070914335
3,3,arrival,cplex_cold,262,,False,262,0.0,0.004876008241884819
3,3,arrival,cplex_boot_cold,262,345.0,False,262,0.0,0.0019002022189025958
3,4,outage,cpsat_cold,342,,False,342,0.0,0.0007235713045175592
3,4,outage,boot_cold,342,359.0,False,342,0.0,0.0002797498645447126
3,4,outage,gurobi_cold,342,,False,342,0.0,0.004760166790347604
3,4,outage,gurobi_boot_cold,342,369.0,False,342,0.0,0.0025404338303012045
3,4,outage,cplex_cold,342,,False,342,0.0,0.005355210571411717
3,4,outage,cplex_boot_cold,342,345.0,False,342,0.0,0.00031561664444891725
4,0,base,cpsat_cold,191,,False,191,0.0,0.0003283855665892031
4,0,base,boot_cold,191,,False,191,0.0,0.00036032397516531364
4,0,base,gurobi_cold,191,,True,191,0.0,0.0024019989629744803
4,0,base,gurobi_boot_cold,191,,True,191,0.0,0.002361899794377868
4,0,base,cplex_cold,191,,False,191,0.0,0.002854228334294764
4,0,base,cplex_boot_cold,191,,False,191,0.0,0.0029435852196321127
4,1,duration_jitter,cpsat_cold,202,,False,202,0.0,0.00038136870433944667
4,1,duration_jitter,boot_cold,202,211.0,False,202,0.0,2.285656586590818e-05
4,1,duration_jitter,gurobi_cold,202,,True,202,0.0,0.0023794987775167236
4,1,duration_jitter,gurobi_boot_cold,202,211.0,True,202,0.0,0.0008246222781657131
4,1,duration_jitter,cplex_cold,202,,True,202,0.0,0.002639245664894507
4,1,duration_jitter,cplex_boot_cold,202,211.0,True,202,0.0,0.000716919369344648
4,2,outage,cpsat_cold,202,,False,202,0.0,0.00034336440202792747
4,2,outage,boot_cold,202,232.0,False,202,0.0,8.125207291458996e-05
4,2,outage,gurobi_cold,202,,True,202,0.0,0.0019542227849045288
4,2,outage,gurobi_boot_cold,202,202.0,True,202,0.0,1.4974502846598625e-05
4,2,outage,cplex_cold,202,,False,202,0.0,0.0016387595196197208
4,2,outage,cplex_boot_cold,202,214.0,False,202,0.0,0.0005239281189199456
4,3,arrival,cpsat_cold,222,,False,222,0.0,0.0003313804973987391
4,3,arrival,boot_cold,222,268.0,False,222,0.0,9.447486745311588e-05
4,3,arrival,gurobi_cold,222,,True,222,0.0,0.0035921647501979625
4,3,arrival,gurobi_boot_cold,222,268.0,True,222,0.0,0.0024485163186483564
4,3,arrival,cplex_cold,222,,False,222,0.0,0.0017045885382325292
4,3,arrival,cplex_boot_cold,222,263.0,False,222,0.0,0.0008695466052043369
4,4,cancellation,cpsat_cold,192,,False,192,0.0,0.0003058576563716997
4,4,cancellation,boot_cold,192,221.0,False,192,0.0,5.944499887770386e-05
4,4,cancellation,gurobi_cold,192,,True,192,0.0,0.0035173101087669543
4,4,cancellation,gurobi_boot_cold,192,208.0,True,192,0.0,0.0011926318541857956
4,4,cancellation,cplex_cold,192,,False,192,0.0,0.0024267461632045224
4,4,cancellation,cplex_boot_cold,192,204.0,False,192,0.0,0.0011791892126401156
5,0,base,cpsat_cold,177,,False,177,0.0,0.0004140253909330784
5,0,base,boot_cold,177,,False,177,0.0,0.0005066413334113716
5,0,base,gurobi_cold,177,,True,177,0.0,0.0024170464097818495
5,0,base,gurobi_boot_cold,177,,True,177,0.0,0.0024156823007928903
5,0,base,cplex_cold,177,,True,177,0.0,0.0024410449561586022
5,0,base,cplex_boot_cold,177,,True,177,0.0,0.0024712082246626924
5,1,arrival,cpsat_cold,203,,False,203,0.0,0.0004701821859190504
5,1,arrival,boot_cold,203,254.0,False,203,0.0,0.000245224732021472
5,1,arrival,gurobi_cold,203,,True,203,0.0,0.005524534077464294
5,1,arrival,gurobi_boot_cold,203,254.0,True,203,0.0,0.0036889354700080385
5,1,arrival,cplex_cold,203,,True,203,0.0,0.003701217079633621
5,1,arrival,cplex_boot_cold,203,254.0,True,203,0.0,0.001973942851198561
5,2,duration_jitter,cpsat_cold,203,,False,203,0.0,0.0007502407616843342
5,2,duration_jitter,boot_cold,203,203.0,False,203,0.0,8.192502718884498e-06
5,2,duration_jitter,gurobi_cold,203,,True,203,0.0,0.004144823370476168
5,2,duration_jitter,gurobi_boot_cold,203,205.0,True,203,0.0,0.00017989511295391495
5,2,duration_jitter,cplex_cold,203,,True,203,0.0,0.002921629751761635
5,2,duration_jitter,cplex_boot_cold,203,203.0,True,203,0.0,6.550377293024212e-06
5,3,cancellation,cpsat_cold,176,,False,176,0.0,0.0006735565142745062
5,3,cancellation,boot_cold,176,195.0,False,176,0.0,0.00034943994602475544
5,3,cancellation,gurobi_cold,176,,True,176,0.0,0.0020348130043327146
5,3,cancellation,gurobi_boot_cold,176,200.0,True,176,0.0,0.0006644805479151148
5,3,cancellation,cplex_cold,176,,True,176,0.0,0.0017395729474752775
5,3,cancellation,cplex_boot_cold,176,195.0,True,176,0.0,0.0006920653592549735
5,4,arrival,cpsat_cold,201,,False,201,0.0,0.0004516177489029867
5,4,arrival,boot_cold,201,278.0,False,201,0.0,0.00022507352770473555
5,4,arrival,gurobi_cold,201,,True,201,0.0,0.004420760085062582
5,4,arrival,gurobi_boot_cold,201,278.0,True,201,0.0,0.0030813296094556477
5,4,arrival,cplex_cold,201,,True,201,0.0,0.0037594593774897406
5,4,arrival,cplex_boot_cold,201,278.0,True,201,0.0,0.0022919207645890898
6,0,base,cpsat_cold,204,,False,204,0.0,0.0003831493690906392
6,0,base,boot_cold,204,,False,204,0.0,0.0003837149959366013
6,0,base,gurobi_cold,204,,True,204,0.0,0.0014789299947212794
6,0,base,gurobi_boot_cold,204,,True,204,0.0,0.0014917119981285342
6,0,base,cplex_cold,204,,True,204,0.0,0.002303277199893737
6,0,base,cplex_boot_cold,204,,True,204,0.0,0.0023569020125732473
6,1,duration_jitter,cpsat_cold,206,,False,206,0.0,0.00034178012176145554
6,1,duration_jitter,boot_cold,206,207.0,False,206,0.0,7.870310936004457e-06
6,1,duration_jitter,gurobi_cold,206,,True,206,0.0,0.002119810622141954
6,1,duration_jitter,gurobi_boot_cold,206,208.0,True,206,0.0,0.0003424496399108727
6,1,duration_jitter,cplex_cold,206,,True,206,0.0,0.001956284282270856
6,1,duration_jitter,cplex_boot_cold,206,209.0,True,206,0.0,5.8793772094079424e-05
6,2,duration_jitter,cpsat_cold,200,,False,200,0.0,0.0003811695011791017
6,2,duration_jitter,boot_cold,200,213.0,False,200,0.0,5.9691386140912066e-05
6,2,duration_jitter,gurobi_cold,200,,True,200,0.0,0.003212363086349797
6,2,duration_jitter,gurobi_boot_cold,200,214.0,True,200,0.0,0.001564501902430493
6,2,duration_jitter,cplex_cold,200,,True,200,0.0,0.002691859875594673
6,2,duration_jitter,cplex_boot_cold,200,214.0,True,200,0.0,0.0007445843737332326
6,3,duration_jitter,cpsat_cold,211,,False,211,0.0,0.0003804027475513213
6,3,duration_jitter,boot_cold,211,211.0,False,211,0.0,6.851998477941379e-06
6,3,duration_jitter,gurobi_cold,211,,True,211,0.0,0.0028064319399874866
6,3,duration_jitter,gurobi_boot_cold,211,211.0,True,211,0.0,2.483737625880167e-05
6,3,duration_jitter,cplex_cold,211,,True,211,0.0,0.0015096861670783805
6,3,duration_jitter,cplex_boot_cold,211,211.0,True,211,0.0,6.097376171965152e-06
6,4,duration_jitter,cpsat_cold,214,,False,214,0.0,0.0003547329229787405
6,4,duration_jitter,boot_cold,214,215.0,False,214,0.0,1.1363396258963811e-05
6,4,duration_jitter,gurobi_cold,214,,True,214,0.0,0.0018363953332762694
6,4,duration_jitter,gurobi_boot_cold,214,214.0,True,214,0.0,1.4317247405415401e-05
6,4,duration_jitter,cplex_cold,214,,True,214,0.0,0.0018433774924819645
6,4,duration_jitter,cplex_boot_cold,214,214.0,True,214,0.0,5.91987554798834e-06
